demand_id,path
0,"[2, 9]"
1,"[23, 22, 17, 20]"
2,"[6, 2, 16]"
3,"[3, 2, 20, 19]"
4,"[24, 12, 13, 5, 4]"
5,"[5, 9]"
6,"[9, 3, 6, 1]"
7,"[4, 7, 0]"
8,"[7, 5, 13]"
9,"[21, 15, 16, 9, 8]"
10,"[6, 7, 5, 13, 11]"
11,"[6, 0]"
12,"[18, 17]"
13,"[3, 9, 22]"
14,"[14, 10]"
15,"[0, 2, 15]"
16,"[2, 21, 18]"
17,"[0, 2, 20, 19]"
18,"[19, 20, 2, 0]"
19,"[14, 10, 13, 17]"
20,"[11, 13, 8]"
21,"[24, 12, 13, 5, 7, 6]"
22,"[10, 13, 17, 20]"
23,"[11, 12]"
24,"[15, 21, 22, 23]"
25,"[22, 21, 15, 16]"
26,"[19, 20]"
27,"[2, 16]"
28,"[8, 3]"
29,"[13, 9, 3]"
30,"[14, 5]"
31,"[13, 5]"
32,"[11, 13, 5, 4]"
33,"[5, 14, 10]"
34,"[21, 2]"
35,"[23, 22, 9]"
36,"[6, 7]"
37,"[22, 13, 10]"
38,"[6, 7, 5, 13, 12]"
39,"[20, 17, 13, 11]"
40,"[3, 9, 13, 12]"
41,"[20, 17, 21]"
42,"[4, 5, 13, 12]"
43,"[17, 13, 10, 14]"
44,"[18, 17, 22, 24, 12]"
45,"[22, 9, 8]"
46,"[24, 12, 11, 10]"
47,"[9, 13, 12]"
48,"[20, 17, 13]"
49,"[6, 2, 17]"
50,"[2, 20, 19]"
51,"[23, 24, 12, 11, 14]"
52,"[12, 11, 10]"
53,"[15, 21, 18]"
54,"[1, 0, 7, 5]"
55,"[17, 22, 24]"
56,"[13, 10]"
57,"[22, 13, 10]"
58,"[14, 5, 9, 16]"
59,"[24, 22, 17, 18]"
60,"[4, 7, 0]"
61,"[23, 22, 21, 2]"
62,"[12, 13, 8]"
63,"[22, 13]"
64,"[22, 24, 12]"
65,"[20, 17, 15]"
66,"[6, 7, 5, 13, 12, 24]"
67,"[19, 20, 2, 9, 5]"
68,"[13, 15]"
69,"[2, 9, 13]"
70,"[23, 22, 13, 5]"
71,"[13, 5, 7]"
72,"[24, 12, 13, 9, 3]"
73,"[22, 24, 12]"
74,"[2, 9, 13, 12, 24]"
75,"[14, 10]"
76,"[15, 2, 0, 1]"
77,"[18, 17, 22, 24, 12]"
78,"[20, 2, 6, 7, 4]"
79,"[10, 13, 15, 21]"
80,"[10, 13, 17, 19]"
81,"[1, 6, 3, 9, 22, 23]"
83,"[21, 15, 13, 11, 12]"
84,"[16, 15, 21, 18]"
85,"[1, 6, 3, 8]"
86,"[2, 17]"
87,"[16, 15, 21, 22, 23]"
88,"[13, 10, 14]"
89,"[0, 6]"
90,"[9, 22]"
91,"[22, 21, 15, 16]"
92,"[14, 11]"
93,"[21, 15, 16, 9, 8]"
94,"[17, 2, 0, 1]"
95,"[20, 17]"
96,"[22, 13, 5, 7]"
97,"[11, 12]"
98,"[5, 13, 11, 12]"
99,"[16, 2, 6, 7]"
100,"[22, 13, 10, 14]"
101,"[14, 11, 12, 24, 23]"
102,"[15, 16, 9, 5]"
103,"[19, 17, 13]"
104,"[24, 23]"
105,"[0, 6]"
106,"[22, 17, 20]"
107,"[9, 2, 20, 19]"
108,"[5, 9, 2, 20, 19]"
109,"[7, 6, 3]"
110,"[1, 0, 7, 5]"
111,"[19, 20, 2, 6]"
112,"[6, 3, 8]"
113,"[0, 6, 3]"
115,"[22, 13, 5, 7]"
116,"[7, 4, 5, 14]"
117,"[7, 6, 2, 17]"
118,"[18, 17, 13]"
119,"[1, 0, 2, 21]"
120,"[1, 0, 2, 20]"
123,"[8, 9, 22]"
124,"[6, 0]"
125,"[19, 17, 22, 24]"
126,"[2, 21, 22]"
127,"[10, 14, 5, 4, 7]"
128,"[21, 2, 9, 8]"
129,"[14, 5, 9, 16]"
130,"[2, 0, 1]"
132,"[15, 16, 9, 5]"
133,"[8, 5, 4]"
134,"[1, 0, 7, 4, 5]"
135,"[16, 2, 0, 1]"
136,"[2, 9, 13, 11, 10]"
137,"[20, 2, 16]"
138,"[2, 16]"
139,"[10, 11, 13, 17, 20]"
140,"[22, 17, 19]"
141,"[9, 3, 6, 1]"
143,"[22, 9]"
144,"[10, 14, 5, 4, 7, 0, 1]"
145,"[14, 11]"
146,"[16, 17]"
147,"[14, 11, 13]"
148,"[19, 17, 21]"
149,"[11, 12, 24]"
150,"[0, 2, 15]"
151,"[20, 2, 16, 9]"
153,"[3, 2, 15]"
154,"[3, 2, 21]"
155,"[20, 2, 9, 5]"
156,"[5, 4, 7, 0, 1]"
158,"[13, 17, 18]"
159,"[4, 5, 9, 16, 15]"
162,"[18, 17, 13, 11]"
163,"[21, 17, 20]"
164,"[11, 13, 5]"
165,"[0, 2, 21]"
166,"[13, 9, 3]"
167,"[0, 7, 4, 5, 14, 10]"
168,"[24, 22]"
169,"[24, 22, 9]"
170,"[13, 17]"
171,"[1, 0, 2]"
172,"[14, 5, 8]"
173,"[0, 7, 5, 13]"
174,"[20, 2, 3, 8, 5]"
175,"[15, 16, 9, 5, 14]"
176,"[1, 6, 2, 17]"
179,"[14, 5, 8, 3, 2]"
180,"[18, 17, 19]"
182,"[12, 24, 22, 21]"
183,"[8, 3, 2]"
185,"[5, 8, 9, 16]"
186,"[3, 2, 21, 18]"
188,"[0, 2, 17]"
189,"[23, 22, 9, 3, 6, 1]"
190,"[0, 2, 20]"
191,"[1, 6, 2, 16]"
194,"[21, 15, 13, 10, 14]"
198,"[7, 6, 2, 20]"
199,"[1, 0, 2, 21, 18]"
